ID,predict
53608,0.76
51055,0.93
52573,0.02
50458,0.25
52272,0.33
52072,0.83
50973,0.32
50553,0.15
53135,0.2
53835,0.28
51843,0.07
54145,0.33
53878,0.2
54216,0.16
51728,0.18
52863,0.13
50760,0.54
50823,0.45
53928,0.83
52683,0.74
50200,0.29
52984,0.03
50747,0.18
54128,0.11
52001,0.8
50276,0.44
52651,0.55
53535,0.12
52387,0.36
52884,0.92
53205,0.25
52873,0.16
52376,0.41
51950,0.45
51650,0.79
53901,0.14
51919,0.23
50065,0.06
52885,0.38
51413,0.31
52768,0.16
51375,0.13
54157,0.29
53328,0.08
53362,0.15
52202,0.05
50640,0.22
52298,0.5
53477,0.14
50078,0.15
51998,0.24
52336,0.09
52654,0.13
53341,0.14
53868,0.59
52945,0.14
52411,0.11
52222,0.1
51813,0.12
50175,0.46
51744,0.24
53521,0.87
51261,0.04
51619,0.0
51479,0.2
52020,0.21
53306,0.19
53013,0.59
50117,0.23
51992,0.35
54233,0.92
51709,0.71
50930,0.21
50637,0.2
52333,0.37
51627,0.18
53524,0.16
50167,0.03
50330,0.69
53678,0.1
53581,0.68
50243,0.33
50237,0.11
53032,0.73
50235,0.15
50012,0.19
53264,0.6
50729,0.13
53195,0.1
50069,0.6
52091,0.43
50697,0.14
51477,0.03
52262,0.56
53822,0.08
53533,0.83
52983,0.53
50777,0.2
53630,0.08
52743,0.19
52584,0.65
51428,0.21
54194,0.02
52849,0.79
52839,0.82
52867,0.05
53043,0.45
52266,0.14
52478,0.35
51336,0.97
52840,0.31
51997,0.14
53976,0.37
50670,0.13
50370,0.35
50921,0.17
50983,0.39
51456,0.41
53104,0.57
50594,0.38
52201,0.18
52992,0.04
50240,0.2
50014,0.34
52583,0.19
52625,0.23
51357,0.38
50080,0.27
50521,0.09
51886,0.2
52367,0.12
52917,0.1
53378,0.16
50779,0.05
52352,0.29
50021,0.36
50726,0.1
52679,0.01
50389,0.21
50905,0.03
50409,0.28
52473,0.17
52089,0.06
50522,0.11
50603,0.6
53796,0.02
53167,0.07
53351,0.1
53680,0.85
53273,0.6
52913,0.13
50098,0.05
53479,0.2
50804,0.26
50074,0.73
53635,0.01
50189,0.81
53138,0.52
53786,0.46
50268,0.13
53688,0.37
51962,0.12
53639,0.25
53792,0.32
52631,0.44
50129,0.23
52712,0.16
50432,0.52
53221,0.12
53474,0.5
54232,0.28
50151,0.18
52516,0.8
53019,0.02
52510,0.35
50252,0.0
53354,0.43
50448,0.92
52796,0.21
50641,0.26
52189,0.11
53588,0.81
53324,0.29
51809,0.4
50258,0.75
54271,0.14
52785,0.21
50026,0.45
51529,0.15
51636,0.46
52050,0.24
52419,0.12
53228,0.82
52425,0.18
53470,0.3
52139,0.18
50471,0.19
52374,0.88
50136,0.28
51736,0.38
52638,0.12
51458,0.12
51027,0.25
51870,0.91
50960,0.76
52212,0.33
53337,0.29
51421,0.12
51740,0.04
52988,0.26
51551,0.08
51574,0.62
52285,0.04
51984,0.92
52735,0.66
52037,0.05
51522,0.92
52383,0.62
53724,0.53
52435,0.15
51506,0.21
53863,0.77
53212,0.3
50955,0.53
51646,0.17
50769,0.18
50675,0.32
54180,0.1
50174,0.79
52475,0.07
52472,0.3
52312,0.02
51007,0.12
52287,0.45
52334,0.09
50354,0.16
52462,0.07
52731,0.03
53106,0.06
52469,0.59
53076,0.62
50177,0.31
50028,0.54
51856,0.3
53294,0.52
50394,0.67
50791,0.05
51325,0.19
52366,0.63
50372,0.33
51474,0.11
54117,0.07
50413,0.57
51471,0.09
52079,0.02
51553,0.66
52207,0.06
53764,0.15
50806,0.21
52853,0.28
53938,0.58
50353,0.27
52097,0.06
52780,0.84
50390,0.29
53988,0.22
53910,0.93
52128,0.91
53569,0.12
53007,0.06
54039,0.25
52755,0.28
52545,0.39
50342,0.19
52793,0.73
52238,0.18
50782,0.83
51376,0.87
51520,0.01
53075,0.08
51600,0.41
53834,0.2
53964,0.25
51767,0.08
51481,0.01
52998,0.35
52217,0.61
53890,0.05
54196,0.06
53749,0.18
52076,0.61
54197,0.04
52307,0.43
53787,0.58
53805,0.4
51806,0.09
52795,0.69
50256,0.08
51457,0.39
53506,0.04
52765,0.03
52461,0.19
53081,0.05
54086,0.01
52554,0.08
51764,0.24
53689,0.27
53653,0.76
53401,0.31
53402,0.19
50395,0.33
50326,0.07
51830,0.09
52574,0.12
53670,0.26
52802,0.13
51045,0.11
51836,0.43
50694,0.06
52152,0.06
52778,0.05
53770,0.38
50455,0.92
54001,0.13
53067,0.64
52400,0.79
53799,0.33
50962,0.14
50657,0.12
50171,0.29
50035,0.09
52200,0.14
51700,0.34
53259,0.46
51955,0.14
52414,0.15
54195,0.05
54276,0.03
54079,0.21
52979,0.05
52621,0.05
54256,0.01
50901,0.25
50862,0.19
52528,0.69
53016,0.29
50083,0.15
50128,0.05
51496,0.46
51860,0.7
53311,0.15
54125,0.16
50503,0.86
54142,0.24
51849,0.5
50757,0.37
53726,0.02
53211,0.1
51148,0.23
50677,0.14
52512,0.29
51615,0.06
50357,0.68
53691,0.23
54132,0.32
52492,0.41
52664,0.79
50125,0.69
50306,0.12
50746,0.02
52858,0.15
52481,0.67
50216,0.17
53087,0.21
52669,0.12
53386,0.01
50662,0.55
50508,0.08
51989,0.86
51005,0.16
50311,0.21
51450,0.03
50579,0.5
52130,0.05
51125,0.78
51894,0.64
51270,0.18
50060,0.75
50343,0.76
52228,0.17
51406,0.44
51340,0.17
54242,0.09
51787,0.47
50481,0.23
51278,0.15
50736,0.19
50964,0.11
52105,0.26
53892,0.09
51657,0.58
52729,0.73
53721,0.35
53307,0.51
52122,0.26
50447,0.22
53420,0.67
52167,0.79
51277,0.09
53643,0.79
53975,0.26
51290,0.34
51315,0.29
53206,0.58
52586,0.12
54234,0.5
54124,0.23
51697,0.26
50856,0.15
52980,0.82
53489,0.11
53000,0.25
52997,0.03
50750,0.16
52301,0.05
53141,0.47
53573,0.09
51114,0.03
51648,0.15
52415,0.93
51000,0.07
50005,0.17
54249,0.41
51300,0.8
50365,0.03
53544,0.93
51069,0.54
53849,0.45
53158,0.15
52094,0.05
53502,0.03
50690,0.63
50564,0.23
50885,0.15
52544,0.3
52265,0.01
53086,0.31
50981,0.05
52368,0.12
51305,0.05
53695,0.63
53657,0.81
52423,0.58
54008,0.12
50576,0.13
51225,0.39
52017,0.14
50975,0.35
50162,0.11
50077,0.08
53500,0.48
52294,0.43
53698,0.34
53672,0.44
50081,0.67
52320,0.14
51263,0.01
51347,0.24
53098,0.21
54053,0.72
52790,0.33
52646,0.23
53699,0.28
52871,0.07
54085,0.34
53117,0.04
51053,0.14
51779,0.92
53031,0.39
52748,0.79
51524,0.52
51158,0.8
51418,0.06
50027,0.22
51085,0.19
50452,0.17
50255,0.83
51986,0.77
51244,0.08
52026,0.21
53752,0.6
53166,0.71
53345,0.42
53139,0.15
50214,0.36
52681,0.09
54057,0.34
50199,0.48
50246,0.92
53734,0.48
50857,0.08
50463,0.32
54041,0.24
54058,0.05
51569,0.06
51649,0.59
54209,0.13
54007,0.37
50836,0.44
52699,0.16
50164,0.14
50321,0.13
51067,0.29
50610,0.44
50514,0.57
52362,0.18
50251,0.73
51025,0.9
50623,0.05
51572,0.31
50632,0.25
52650,0.11
50988,0.09
53916,0.06
52652,0.8
51397,0.13
53659,0.15
51957,0.09
52899,0.15
51472,0.74
50263,0.18
50018,0.75
53948,0.3
53967,0.19
51250,0.1
50100,0.86
51865,0.18
51123,0.41
50376,0.31
50420,0.6
50611,0.1
51100,0.54
50138,0.07
50995,0.22
50584,0.16
52684,0.38
53806,0.1
54245,0.06
50950,0.14
50896,0.9
52628,0.1
51021,0.23
50883,0.19
53700,0.18
53914,0.21
50501,0.24
52317,0.29
50215,0.21
51750,0.11
52068,0.13
52064,0.16
54139,0.05
53953,0.07
50470,0.16
52188,1.0
50556,0.18
50768,0.3
50972,0.5
53045,0.26
51431,0.08
52235,0.03
53077,0.09
50329,0.25
51172,0.7
53154,0.18
54059,0.14
52974,0.17
51207,0.85
53282,0.15
50325,0.56
52820,0.53
52003,0.2
53281,0.29
53607,0.09
54108,0.47
51443,0.2
52708,0.75
50843,0.1
53855,0.7
53904,0.35
51653,0.3
50400,0.09
53319,0.06
50755,0.37
52125,0.13
52553,0.63
50346,0.18
50278,0.27
51466,0.31
53778,0.07
52640,0.83
50600,0.6
50560,0.43
51679,0.31
50270,0.86
51233,0.05
51968,0.73
52296,0.13
53037,0.47
52842,0.5
54052,0.13
50300,0.09
53753,0.74
51848,0.77
52048,0.04
53033,0.08
50920,0.06
53927,0.01
53930,0.14
51799,0.5
51253,0.19
50195,0.07
53454,0.18
53883,0.2
52350,0.04
51291,0.03
51591,0.78
53431,0.22
51946,0.22
52056,0.3
53779,0.3
51419,0.02
53413,0.66
53512,0.03
53663,0.12
50544,0.18
51577,0.13
53870,0.67
51387,0.02
50047,0.43
50748,0.11
54238,0.21
50737,0.16
52016,0.54
52619,0.24
50969,0.91
53567,0.47
50183,0.8
51681,0.52
51330,0.55
51935,0.08
51706,0.24
53293,0.2
50259,0.85
52117,0.25
52208,0.71
50518,0.59
53490,0.15
50043,0.22
54162,0.47
50568,0.91
52284,0.05
50570,0.04
51094,0.97
51381,0.21
53355,0.21
50261,0.49
52073,0.17
50655,0.02
50796,0.78
53116,0.21
51631,0.2
51720,0.38
50754,0.21
54116,0.05
54077,0.01
54171,0.44
51961,0.12
52329,0.16
50829,0.11
54064,0.09
52850,0.07
53412,0.01
52490,0.58
51464,0.17
53520,0.95
52029,0.91
54005,0.2
50279,0.94
51539,0.02
51200,0.56
53235,0.06
52474,0.22
52131,0.3
50776,0.05
52397,0.77
51800,0.26
51774,0.26
53568,0.58
53058,0.7
53854,0.9
51533,0.39
53178,0.38
51390,0.33
51753,0.21
51793,0.21
50170,0.36
54239,0.37
54032,0.27
53216,0.09
52878,0.13
50833,0.32
52770,0.18
53574,0.04
51676,0.08
51396,0.14
51508,0.11
50375,0.83
51987,0.17
