ID,Segmentation
460406,A
466890,C
466145,B
465805,A
466137,D
467572,C
460767,B
467515,A
463085,A
462751,D
464829,D
467328,C
463506,C
466783,D
462876,D
460285,A
465067,C
459440,C
462650,D
462827,D
459495,D
462857,D
465209,C
463090,B
465387,C
464418,C
463141,A
460534,C
462654,A
464259,C
463800,D
466632,C
463239,D
462021,A
463799,A
467423,B
459853,D
465658,C
462692,B
464394,C
465937,D
463689,A
463091,A
463970,D
465129,D
462040,D
461119,D
461311,D
463488,D
460051,A
459487,A
459583,B
461548,D
461408,A
460661,D
463173,B
465953,C
460405,A
459178,C
460282,D
467121,A
459804,C
460881,A
466266,A
467418,C
464112,A
459464,A
467443,D
466268,C
461195,D
465848,A
461926,C
464250,C
467638,C
465213,B
465587,A
459292,B
466024,A
460104,B
463830,D
465658,C
460986,A
465640,C
460229,C
466406,A
466775,C
460935,C
461064,A
462125,D
463638,A
464134,D
461394,D
462869,D
462767,D
459631,C
463067,D
467197,D
460387,A
462029,A
461129,B
461756,B
459061,D
465310,D
464493,B
463012,A
466508,C
464790,A
465924,D
459613,D
463389,C
459508,D
465029,B
465364,A
465426,D
463718,D
459742,B
459985,A
461813,D
459397,C
460162,D
463232,D
459269,C
467548,C
464424,D
459084,B
467537,B
466260,C
465960,D
464099,A
464039,A
462984,C
462059,C
462810,A
458994,A
465182,D
465136,C
463255,A
465975,A
467089,C
467384,A
463440,C
464696,A
463290,D
463776,C
463375,B
466553,D
467702,B
463028,D
467022,D
461168,A
461558,C
464002,D
464769,B
465793,D
463601,D
460268,B
460585,D
464242,D
466355,D
462953,C
459307,A
459026,D
462036,C
459126,C
461215,A
465669,A
462254,B
462005,C
467670,D
465571,B
459524,A
459810,D
461652,C
464389,C
465357,C
464132,A
464339,D
465408,D
464511,D
459115,D
459942,B
460253,C
466335,D
461695,C
460471,D
460828,A
467951,D
465554,A
466447,C
463933,D
466429,D
466391,C
461540,A
462111,C
463617,D
467082,C
462957,B
464033,D
467806,C
464042,C
461848,D
459357,A
459449,A
465392,C
462829,D
464717,D
462280,D
460039,D
462973,C
460968,D
466173,D
463205,D
465326,A
467511,A
459806,B
464623,A
464146,A
464513,C
461060,C
461368,D
466370,C
463716,D
463721,D
467184,B
460251,D
460745,A
466704,C
467034,A
459954,D
464167,C
463793,D
465412,D
462171,A
463946,D
460927,C
461687,C
465421,A
465757,C
462321,A
467818,C
463421,B
459835,A
467058,A
465343,C
465628,C
463689,A
462051,D
465521,C
467306,C
466947,B
466905,B
459914,B
465967,A
463572,C
466975,C
459568,A
459266,D
461289,D
465867,C
464451,C
461307,D
460574,B
460882,D
461365,D
460015,A
464234,A
460360,A
465410,D
461437,B
460605,A
464034,A
461225,D
460653,A
463828,B
463034,D
460906,A
462174,A
465703,D
459822,A
460885,C
466603,B
460552,B
461764,A
459801,D
467928,C
460278,D
462541,B
467324,D
459536,D
464298,D
461676,D
466347,B
461387,D
460947,C
461621,C
463295,D
465335,B
459768,D
459433,D
466198,B
460166,D
463128,C
463351,D
462304,B
464553,B
467147,A
462456,D
462797,D
467115,A
462286,B
464768,A
462422,A
465863,D
465336,A
466464,B
461967,D
466561,D
460716,C
463172,D
465766,A
461109,D
464887,B
462871,B
466160,C
460794,A
465721,D
463461,D
466654,D
467606,B
463936,A
467599,D
465487,D
465740,D
460051,A
467046,D
465189,C
462884,C
459360,D
467848,A
464443,C
460919,D
461476,C
460084,D
466951,C
467959,A
459979,D
465671,A
464013,D
459336,B
467773,C
466808,A
463363,D
463399,D
466919,D
460479,D
465093,A
461190,D
459724,C
467290,D
460157,A
459669,B
467808,C
459793,B
467659,C
459239,A
461149,D
465373,C
464398,D
462846,D
465786,D
465580,A
467512,C
466764,C
461934,C
464400,A
462906,D
465630,D
466435,D
460378,A
460551,C
464165,A
462235,A
463335,A
464634,D
460349,C
459145,A
464504,D
467488,A
459231,C
460196,D
462453,D
465654,A
466319,D
459712,D
467778,D
464030,D
466429,D
467145,C
465153,C
466136,D
463978,C
464154,C
466422,D
464179,C
464990,B
465686,D
459258,C
467949,D
461090,B
465228,C
464127,D
459845,B
461690,A
463080,D
463302,B
462240,A
463805,D
464756,D
462352,C
459526,D
465662,D
464804,A
460699,A
466071,C
467647,D
466759,D
465382,A
464692,D
464833,D
466325,D
466166,A
460719,A
460922,D
463359,D
465892,A
463894,C
464699,D
466502,D
466410,C
463605,D
464178,A
464835,D
467156,A
463438,C
462323,C
463203,D
461138,B
467591,C
460368,D
459024,C
464959,B
459180,C
467463,C
461220,D
460275,C
459858,D
459680,A
466141,C
461137,A
466084,A
460306,D
461412,C
460802,C
465073,A
461492,C
461507,A
465668,D
459657,C
464201,D
460111,C
462371,D
467139,D
460142,C
464900,B
463929,C
460387,A
459258,C
460308,A
463818,A
460929,C
461812,D
464446,B
465033,C
465414,D
462452,D
467714,A
464536,D
460106,A
464163,C
465732,B
467352,C
462227,B
462203,A
463987,A
461734,A
463732,D
466691,D
465214,D
467728,A
467857,D
463865,C
467201,D
463234,D
463455,B
464314,A
467196,D
466463,D
460561,A
461326,A
463086,D
466596,C
464667,A
466272,C
462259,C
460758,A
467882,A
462995,C
459252,C
459143,A
460651,D
464125,A
460390,A
463941,D
460864,D
466426,D
459745,B
466119,A
467116,C
464268,C
467677,A
460550,C
462871,C
459152,A
464580,D
467063,C
466772,C
463189,A
465632,C
465093,A
464343,C
464003,D
465819,D
464351,D
467385,D
466928,D
466505,C
463768,A
466310,B
461378,A
464531,A
467790,D
466565,C
461587,D
459059,A
459651,A
459544,D
467249,D
462392,D
460187,A
466670,A
461426,C
464054,B
466540,D
464972,A
467726,C
459598,B
465923,D
462192,D
462822,D
460436,A
461624,C
461162,D
461486,B
465085,C
459718,B
462056,C
461297,A
461070,A
459175,C
460172,C
467398,A
460014,A
462024,D
462639,A
463940,D
461874,B
466555,D
460344,C
462759,D
464797,A
459355,A
464091,C
462593,B
467654,C
467342,A
459229,C
467797,C
465457,D
461480,C
464512,D
464652,A
465076,C
463556,B
459846,C
462089,C
466781,C
460068,A
461114,C
462557,B
459472,B
466300,C
463062,C
460335,A
461158,A
460521,A
460081,C
467323,C
466105,C
463510,D
467872,B
462274,C
463030,C
465995,D
466990,C
467190,B
467187,B
459878,B
467385,D
463959,A
462705,B
459227,A
460711,D
459215,C
459319,B
462435,C
458990,B
463744,D
466817,B
462999,D
467212,D
466832,C
461517,C
462402,A
462997,C
467325,C
467165,D
467946,C
462070,C
467400,A
465197,C
463608,A
464071,C
463932,C
